File,G652D_40_1500_2xtof_przes500v2.csv,
1542.582500,2.0110E-004,1542.582500,2.8530E-006,1542.582500,4.0300E-006,1542.582500,4.9901E001
1542.665000,2.0160E-004,1542.665000,2.8950E-006,1542.665000,4.0140E-006,1542.665000,5.0224E001
1542.747500,2.0120E-004,1542.747500,2.8220E-006,1542.747500,4.0890E-006,1542.747500,4.9205E001
1542.830000,2.0090E-004,1542.830000,2.8420E-006,1542.830000,4.1270E-006,1542.830000,4.8679E001
1542.912500,2.0180E-004,1542.912500,2.8600E-006,1542.912500,4.1360E-006,1542.912500,4.8791E001
1542.995000,2.0180E-004,1542.995000,2.8700E-006,1542.995000,4.1640E-006,1542.995000,4.8463E001
1543.077500,2.0090E-004,1543.077500,2.8850E-006,1543.077500,4.1400E-006,1543.077500,4.8527E001
1543.160000,2.0140E-004,1543.160000,2.8770E-006,1543.160000,4.0750E-006,1543.160000,4.9423E001
1543.242500,2.0200E-004,1543.242500,2.8650E-006,1543.242500,4.3050E-006,1543.242500,4.6922E001
1543.325000,2.0110E-004,1543.325000,2.8900E-006,1543.325000,4.2190E-006,1543.325000,4.7665E001
1543.407500,2.0140E-004,1543.407500,2.8330E-006,1543.407500,4.3030E-006,1543.407500,4.6805E001
1543.490000,2.0200E-004,1543.490000,2.9060E-006,1543.490000,4.2640E-006,1543.490000,4.7373E001
1543.572500,2.0110E-004,1543.572500,2.8450E-006,1543.572500,4.2480E-006,1543.572500,4.7340E001
1543.655000,2.0200E-004,1543.655000,2.8280E-006,1543.655000,4.2690E-006,1543.655000,4.7318E001
1543.737500,2.0170E-004,1543.737500,2.7950E-006,1543.737500,4.2300E-006,1543.737500,4.7683E001
1543.820000,2.0140E-004,1543.820000,2.8500E-006,1543.820000,4.2630E-006,1543.820000,4.7244E001
1543.902500,2.0200E-004,1543.902500,2.8310E-006,1543.902500,4.3900E-006,1543.902500,4.6014E001
1543.985000,2.0190E-004,1543.985000,2.8190E-006,1543.985000,4.4350E-006,1543.985000,4.5524E001
1544.067500,2.0160E-004,1544.067500,2.7830E-006,1544.067500,4.4040E-006,1544.067500,4.5777E001
1544.150000,2.0180E-004,1544.150000,2.8730E-006,1544.150000,4.3920E-006,1544.150000,4.5947E001
1544.232500,2.0210E-004,1544.232500,2.8790E-006,1544.232500,4.4910E-006,1544.232500,4.5001E001
1544.315000,2.0230E-004,1544.315000,2.8240E-006,1544.315000,4.5820E-006,1544.315000,4.4151E001
1544.397500,2.0170E-004,1544.397500,2.7970E-006,1544.397500,4.4640E-006,1544.397500,4.5184E001
1544.480000,2.0270E-004,1544.480000,2.8540E-006,1544.480000,4.5290E-006,1544.480000,4.4756E001
1544.562500,2.0280E-004,1544.562500,2.8220E-006,1544.562500,4.4920E-006,1544.562500,4.5147E001
1544.645000,2.0190E-004,1544.645000,2.8470E-006,1544.645000,4.4710E-006,1544.645000,4.5158E001
1544.727500,2.0330E-004,1544.727500,2.8190E-006,1544.727500,4.5180E-006,1544.727500,4.4998E001
1544.810000,2.0340E-004,1544.810000,2.8090E-006,1544.810000,4.5890E-006,1544.810000,4.4323E001
1544.892500,2.0290E-004,1544.892500,2.7870E-006,1544.892500,4.6680E-006,1544.892500,4.3466E001
1544.975000,2.0350E-004,1544.975000,2.8120E-006,1544.975000,4.6260E-006,1544.975000,4.3990E001
1545.057500,2.0400E-004,1545.057500,2.7880E-006,1545.057500,4.7090E-006,1545.057500,4.3321E001
1545.140000,2.0330E-004,1545.140000,2.7450E-006,1545.140000,4.7120E-006,1545.140000,4.3145E001
1545.222500,2.0380E-004,1545.222500,2.7340E-006,1545.222500,4.7120E-006,1545.222500,4.3251E001
1545.305000,2.0380E-004,1545.305000,2.8310E-006,1545.305000,4.6590E-006,1545.305000,4.3743E001
1545.387500,2.0390E-004,1545.387500,2.7550E-006,1545.387500,4.7200E-006,1545.387500,4.3199E001
1545.470000,2.0420E-004,1545.470000,2.7880E-006,1545.470000,4.7920E-006,1545.470000,4.2613E001
1545.552500,2.0440E-004,1545.552500,2.7510E-006,1545.552500,4.8110E-006,1545.552500,4.2486E001
1545.635000,2.0510E-004,1545.635000,2.8250E-006,1545.635000,4.8080E-006,1545.635000,4.2658E001
1545.717500,2.0420E-004,1545.717500,2.8420E-006,1545.717500,4.8590E-006,1545.717500,4.2025E001
1545.800000,2.0490E-004,1545.800000,2.7590E-006,1545.800000,4.9230E-006,1545.800000,4.1621E001
1545.882500,2.0550E-004,1545.882500,2.8100E-006,1545.882500,4.8780E-006,1545.882500,4.2128E001
1545.965000,2.0460E-004,1545.965000,2.8120E-006,1545.965000,4.8700E-006,1545.965000,4.2012E001
1546.047500,2.0570E-004,1546.047500,2.7520E-006,1546.047500,4.9440E-006,1546.047500,4.1606E001
1546.130000,2.0570E-004,1546.130000,2.7460E-006,1546.130000,4.9420E-006,1546.130000,4.1623E001
1546.212500,2.0540E-004,1546.212500,2.7530E-006,1546.212500,4.9540E-006,1546.212500,4.1461E001
1546.295000,2.0610E-004,1546.295000,2.7590E-006,1546.295000,5.0020E-006,1546.295000,4.1204E001
1546.377500,2.0650E-004,1546.377500,2.7130E-006,1546.377500,5.0020E-006,1546.377500,4.1283E001
1546.460000,2.0550E-004,1546.460000,2.7310E-006,1546.460000,5.0220E-006,1546.460000,4.0920E001
1546.542500,2.0630E-004,1546.542500,2.7920E-006,1546.542500,5.0790E-006,1546.542500,4.0618E001
1546.625000,2.0690E-004,1546.625000,2.6720E-006,1546.625000,5.1070E-006,1546.625000,4.0513E001
1546.707500,2.0570E-004,1546.707500,2.6120E-006,1546.707500,5.0990E-006,1546.707500,4.0341E001
1546.790000,2.0620E-004,1546.790000,2.7140E-006,1546.790000,5.0690E-006,1546.790000,4.0679E001
1546.872500,2.0660E-004,1546.872500,2.7710E-006,1546.872500,5.2090E-006,1546.872500,3.9662E001
1546.955000,2.0660E-004,1546.955000,2.6640E-006,1546.955000,5.0370E-006,1546.955000,4.1016E001
1547.037500,2.0600E-004,1547.037500,2.7260E-006,1547.037500,5.1340E-006,1547.037500,4.0125E001
1547.120000,2.0670E-004,1547.120000,2.6430E-006,1547.120000,5.1610E-006,1547.120000,4.0050E001
1547.202500,2.0670E-004,1547.202500,2.6730E-006,1547.202500,5.2850E-006,1547.202500,3.9111E001
1547.285000,2.0630E-004,1547.285000,2.5980E-006,1547.285000,5.2360E-006,1547.285000,3.9400E001
1547.367500,2.0730E-004,1547.367500,2.6490E-006,1547.367500,5.2850E-006,1547.367500,3.9224E001
1547.450000,2.0660E-004,1547.450000,2.6580E-006,1547.450000,5.2270E-006,1547.450000,3.9526E001
1547.532500,2.0640E-004,1547.532500,2.5870E-006,1547.532500,5.2310E-006,1547.532500,3.9457E001
1547.615000,2.0700E-004,1547.615000,2.6060E-006,1547.615000,5.2980E-006,1547.615000,3.9071E001
1547.697500,2.0680E-004,1547.697500,2.5260E-006,1547.697500,5.3610E-006,1547.697500,3.8575E001
1547.780000,2.0650E-004,1547.780000,2.5560E-006,1547.780000,5.3410E-006,1547.780000,3.8663E001
1547.862500,2.0750E-004,1547.862500,2.5360E-006,1547.862500,5.2880E-006,1547.862500,3.9240E001
1547.945000,2.0710E-004,1547.945000,2.5540E-006,1547.945000,5.3900E-006,1547.945000,3.8423E001
1548.027500,2.0710E-004,1548.027500,2.5890E-006,1548.027500,5.2760E-006,1548.027500,3.9253E001
1548.110000,2.0760E-004,1548.110000,2.5210E-006,1548.110000,5.4330E-006,1548.110000,3.8211E001
1548.192500,2.0720E-004,1548.192500,2.5660E-006,1548.192500,5.4190E-006,1548.192500,3.8236E001
1548.275000,2.0740E-004,1548.275000,2.5050E-006,1548.275000,5.4390E-006,1548.275000,3.8132E001
1548.357500,2.0720E-004,1548.357500,2.5110E-006,1548.357500,5.4540E-006,1548.357500,3.7990E001
1548.440000,2.0770E-004,1548.440000,2.5120E-006,1548.440000,5.5150E-006,1548.440000,3.7661E001
1548.522500,2.0750E-004,1548.522500,2.5280E-006,1548.522500,5.5070E-006,1548.522500,3.7679E001
1548.605000,2.0790E-004,1548.605000,2.4780E-006,1548.605000,5.4810E-006,1548.605000,3.7931E001
1548.687500,2.0760E-004,1548.687500,2.4650E-006,1548.687500,5.5160E-006,1548.687500,3.7636E001
1548.770000,2.0720E-004,1548.770000,2.3790E-006,1548.770000,5.5610E-006,1548.770000,3.7259E001
1548.852500,2.0780E-004,1548.852500,2.4580E-006,1548.852500,5.5930E-006,1548.852500,3.7154E001
1548.935000,2.0820E-004,1548.935000,2.4850E-006,1548.935000,5.5390E-006,1548.935000,3.7588E001
1549.017500,2.0730E-004,1549.017500,2.4130E-006,1549.017500,5.5090E-006,1549.017500,3.7629E001
1549.100000,2.0810E-004,1549.100000,2.3780E-006,1549.100000,5.6680E-006,1549.100000,3.6715E001
1549.182500,2.0790E-004,1549.182500,2.4030E-006,1549.182500,5.6410E-006,1549.182500,3.6855E001
1549.265000,2.0780E-004,1549.265000,2.3920E-006,1549.265000,5.6850E-006,1549.265000,3.6552E001
1549.347500,2.0780E-004,1549.347500,2.3690E-006,1549.347500,5.6870E-006,1549.347500,3.6539E001
1549.430000,2.0760E-004,1549.430000,2.3610E-006,1549.430000,5.6990E-006,1549.430000,3.6427E001
1549.512500,2.0860E-004,1549.512500,2.4010E-006,1549.512500,5.8390E-006,1549.512500,3.5725E001
1549.595000,2.0770E-004,1549.595000,2.3690E-006,1549.595000,5.7120E-006,1549.595000,3.6362E001
1549.677500,2.0800E-004,1549.677500,2.3520E-006,1549.677500,5.7820E-006,1549.677500,3.5974E001
1549.760000,2.0870E-004,1549.760000,2.2680E-006,1549.760000,5.7740E-006,1549.760000,3.6145E001
1549.842500,2.0790E-004,1549.842500,2.2680E-006,1549.842500,5.9290E-006,1549.842500,3.5065E001
1549.925000,2.0850E-004,1549.925000,2.2930E-006,1549.925000,5.8050E-006,1549.925000,3.5917E001
1550.007500,2.0840E-004,1550.007500,2.2750E-006,1550.007500,5.8550E-006,1550.007500,3.5594E001
1550.090000,2.0800E-004,1550.090000,2.2790E-006,1550.090000,5.8510E-006,1550.090000,3.5549E001
1550.172500,2.0800E-004,1550.172500,2.2140E-006,1550.172500,5.9730E-006,1550.172500,3.4823E001
1550.255000,2.0870E-004,1550.255000,2.2280E-006,1550.255000,5.9230E-006,1550.255000,3.5236E001
1550.337500,2.0770E-004,1550.337500,2.1460E-006,1550.337500,5.8970E-006,1550.337500,3.5221E001
1550.420000,2.0850E-004,1550.420000,2.1870E-006,1550.420000,5.9250E-006,1550.420000,3.5190E001
1550.502500,2.0900E-004,1550.502500,2.1510E-006,1550.502500,5.9320E-006,1550.502500,3.5233E001
1550.585000,2.0870E-004,1550.585000,2.2440E-006,1550.585000,5.9920E-006,1550.585000,3.4830E001
1550.667500,2.0850E-004,1550.667500,2.1280E-006,1550.667500,5.9800E-006,1550.667500,3.4866E001
1550.750000,2.0920E-004,1550.750000,2.0940E-006,1550.750000,6.0070E-006,1550.750000,3.4826E001
1550.832500,2.0940E-004,1550.832500,2.1830E-006,1550.832500,5.9590E-006,1550.832500,3.5140E001
1550.915000,2.0890E-004,1550.915000,2.0560E-006,1550.915000,6.0840E-006,1550.915000,3.4336E001
1550.997500,2.0940E-004,1550.997500,2.0960E-006,1550.997500,6.0740E-006,1550.997500,3.4475E001
1551.080000,2.0960E-004,1551.080000,2.0730E-006,1551.080000,6.1050E-006,1551.080000,3.4333E001
1551.162500,2.0970E-004,1551.162500,2.0800E-006,1551.162500,5.9740E-006,1551.162500,3.5102E001
1551.245000,2.0910E-004,1551.245000,2.0430E-006,1551.245000,6.1130E-006,1551.245000,3.4206E001
1551.327500,2.1040E-004,1551.327500,1.9880E-006,1551.327500,6.2060E-006,1551.327500,3.3903E001
1551.410000,2.0980E-004,1551.410000,2.0700E-006,1551.410000,6.1010E-006,1551.410000,3.4388E001
1551.492500,2.0990E-004,1551.492500,2.0360E-006,1551.492500,6.2240E-006,1551.492500,3.3724E001
1551.575000,2.1050E-004,1551.575000,2.0260E-006,1551.575000,6.2870E-006,1551.575000,3.3482E001
1551.657500,2.1020E-004,1551.657500,1.9470E-006,1551.657500,6.2630E-006,1551.657500,3.3562E001
1551.740000,2.1040E-004,1551.740000,2.0130E-006,1551.740000,6.3410E-006,1551.740000,3.3181E001
1551.822500,2.1090E-004,1551.822500,2.0120E-006,1551.822500,6.1990E-006,1551.822500,3.4022E001
1551.905000,2.1140E-004,1551.905000,1.9910E-006,1551.905000,6.2750E-006,1551.905000,3.3689E001
1551.987500,2.1040E-004,1551.987500,1.9210E-006,1551.987500,6.2390E-006,1551.987500,3.3723E001
1552.070000,2.1130E-004,1552.070000,1.9270E-006,1552.070000,6.2920E-006,1552.070000,3.3582E001
1552.152500,2.1160E-004,1552.152500,1.8940E-006,1552.152500,6.3110E-006,1552.152500,3.3529E001
1552.235000,2.1080E-004,1552.235000,1.9300E-006,1552.235000,6.3840E-006,1552.235000,3.3020E001
1552.317500,2.1150E-004,1552.317500,1.9220E-006,1552.317500,6.4050E-006,1552.317500,3.3021E001
1552.400000,2.1180E-004,1552.400000,1.8740E-006,1552.400000,6.4250E-006,1552.400000,3.2965E001
1552.482500,2.1120E-004,1552.482500,1.8270E-006,1552.482500,6.4430E-006,1552.482500,3.2780E001
1552.565000,2.1050E-004,1552.565000,1.8530E-006,1552.565000,6.4240E-006,1552.565000,3.2768E001
1552.647500,2.1220E-004,1552.647500,1.8940E-006,1552.647500,6.5290E-006,1552.647500,3.2501E001
1552.730000,2.1130E-004,1552.730000,1.7780E-006,1552.730000,6.4490E-006,1552.730000,3.2765E001
1552.812500,2.1090E-004,1552.812500,1.8100E-006,1552.812500,6.4000E-006,1552.812500,3.2953E001
1552.895000,2.1150E-004,1552.895000,1.7780E-006,1552.895000,6.4740E-006,1552.895000,3.2669E001
1552.977500,2.1160E-004,1552.977500,1.8170E-006,1552.977500,6.4700E-006,1552.977500,3.2705E001
1553.060000,2.1140E-004,1553.060000,1.7020E-006,1553.060000,6.4820E-006,1553.060000,3.2613E001
1553.142500,2.1070E-004,1553.142500,1.7300E-006,1553.142500,6.4610E-006,1553.142500,3.2611E001
1553.225000,2.1140E-004,1553.225000,1.7320E-006,1553.225000,6.4200E-006,1553.225000,3.2928E001
1553.307500,2.1050E-004,1553.307500,1.7300E-006,1553.307500,6.5190E-006,1553.307500,3.2290E001
1553.390000,2.1110E-004,1553.390000,1.7230E-006,1553.390000,6.5650E-006,1553.390000,3.2155E001
1553.472500,2.1120E-004,1553.472500,1.7020E-006,1553.472500,6.5120E-006,1553.472500,3.2432E001
1553.555000,2.1090E-004,1553.555000,1.7120E-006,1553.555000,6.5420E-006,1553.555000,3.2238E001
1553.637500,2.1070E-004,1553.637500,1.6730E-006,1553.637500,6.6210E-006,1553.637500,3.1823E001
1553.720000,2.1140E-004,1553.720000,1.7340E-006,1553.720000,6.6020E-006,1553.720000,3.2021E001
1553.802500,2.1090E-004,1553.802500,1.6270E-006,1553.802500,6.5890E-006,1553.802500,3.2008E001
1553.885000,2.1100E-004,1553.885000,1.6110E-006,1553.885000,6.5950E-006,1553.885000,3.1994E001
1553.967500,2.1120E-004,1553.967500,1.6210E-006,1553.967500,6.6780E-006,1553.967500,3.1626E001
1554.050000,2.1090E-004,1554.050000,1.5720E-006,1554.050000,6.6430E-006,1554.050000,3.1748E001
1554.132500,2.1080E-004,1554.132500,1.5390E-006,1554.132500,6.5470E-006,1554.132500,3.2198E001
1554.215000,2.1080E-004,1554.215000,1.5400E-006,1554.215000,6.7560E-006,1554.215000,3.1202E001
1554.297500,2.1100E-004,1554.297500,1.5170E-006,1554.297500,6.6180E-006,1554.297500,3.1883E001
1554.380000,2.1070E-004,1554.380000,1.5470E-006,1554.380000,6.7240E-006,1554.380000,3.1336E001
1554.462500,2.1110E-004,1554.462500,1.5250E-006,1554.462500,6.7630E-006,1554.462500,3.1214E001
1554.545000,2.1110E-004,1554.545000,1.5190E-006,1554.545000,6.7280E-006,1554.545000,3.1376E001
1554.627500,2.1070E-004,1554.627500,1.5450E-006,1554.627500,6.6780E-006,1554.627500,3.1551E001
1554.710000,2.1180E-004,1554.710000,1.5160E-006,1554.710000,6.8560E-006,1554.710000,3.0893E001
1554.792500,2.1120E-004,1554.792500,1.4500E-006,1554.792500,6.7880E-006,1554.792500,3.1114E001
1554.875000,2.1090E-004,1554.875000,1.4350E-006,1554.875000,6.8280E-006,1554.875000,3.0888E001
1554.957500,2.1140E-004,1554.957500,1.4180E-006,1554.957500,6.8530E-006,1554.957500,3.0848E001
1555.040000,2.1220E-004,1555.040000,1.4120E-006,1555.040000,6.7490E-006,1555.040000,3.1442E001
1555.122500,2.1090E-004,1555.122500,1.4390E-006,1555.122500,6.7720E-006,1555.122500,3.1143E001
1555.205000,2.1160E-004,1555.205000,1.3920E-006,1555.205000,6.7840E-006,1555.205000,3.1191E001
1555.287500,2.1320E-004,1555.287500,1.3790E-006,1555.287500,6.9250E-006,1555.287500,3.0787E001
1555.370000,2.1150E-004,1555.370000,1.3570E-006,1555.370000,6.9490E-006,1555.370000,3.0436E001
1555.452500,2.1250E-004,1555.452500,1.3110E-006,1555.452500,6.9030E-006,1555.452500,3.0784E001
1555.535000,2.1240E-004,1555.535000,1.3460E-006,1555.535000,6.9230E-006,1555.535000,3.0680E001
1555.617500,2.1270E-004,1555.617500,1.3790E-006,1555.617500,6.9140E-006,1555.617500,3.0764E001
1555.700000,2.1230E-004,1555.700000,1.3250E-006,1555.700000,6.9830E-006,1555.700000,3.0402E001
1555.782500,2.1280E-004,1555.782500,1.2950E-006,1555.782500,6.9630E-006,1555.782500,3.0562E001
1555.865000,2.1290E-004,1555.865000,1.2670E-006,1555.865000,6.9270E-006,1555.865000,3.0735E001
1555.947500,2.1230E-004,1555.947500,1.2860E-006,1555.947500,7.0320E-006,1555.947500,3.0191E001
1556.030000,2.1320E-004,1556.030000,1.3300E-006,1556.030000,7.1360E-006,1556.030000,2.9877E001
1556.112500,2.1290E-004,1556.112500,1.3140E-006,1556.112500,7.0090E-006,1556.112500,3.0375E001
1556.195000,2.1290E-004,1556.195000,1.2270E-006,1556.195000,6.9680E-006,1556.195000,3.0554E001
1556.277500,2.1340E-004,1556.277500,1.3230E-006,1556.277500,6.9750E-006,1556.277500,3.0595E001
1556.360000,2.1440E-004,1556.360000,1.1720E-006,1556.360000,7.0900E-006,1556.360000,3.0240E001
1556.442500,2.1270E-004,1556.442500,1.2350E-006,1556.442500,7.0720E-006,1556.442500,3.0076E001
1556.525000,2.1330E-004,1556.525000,1.1170E-006,1556.525000,7.1120E-006,1556.525000,2.9992E001
1556.607500,2.1370E-004,1556.607500,1.0960E-006,1556.607500,7.0960E-006,1556.607500,3.0116E001
1556.690000,2.1340E-004,1556.690000,1.2120E-006,1556.690000,7.1240E-006,1556.690000,2.9955E001
1556.772500,2.1340E-004,1556.772500,1.1480E-006,1556.772500,7.0880E-006,1556.772500,3.0107E001
1556.855000,2.1330E-004,1556.855000,1.1270E-006,1556.855000,7.1480E-006,1556.855000,2.9841E001
1556.937500,2.1370E-004,1556.937500,1.1110E-006,1556.937500,7.2110E-006,1556.937500,2.9635E001
1557.020000,2.1260E-004,1557.020000,1.1290E-006,1557.020000,7.1680E-006,1557.020000,2.9660E001
1557.102500,2.1360E-004,1557.102500,1.0880E-006,1557.102500,7.1900E-006,1557.102500,2.9708E001
1557.185000,2.1310E-004,1557.185000,1.1250E-006,1557.185000,7.2140E-006,1557.185000,2.9540E001
1557.267500,2.1300E-004,1557.267500,1.0640E-006,1557.267500,7.0720E-006,1557.267500,3.0119E001
1557.350000,2.1300E-004,1557.350000,1.0770E-006,1557.350000,7.2410E-006,1557.350000,2.9416E001
1557.432500,2.1330E-004,1557.432500,1.0800E-006,1557.432500,7.2220E-006,1557.432500,2.9535E001
1557.515000,2.1350E-004,1557.515000,1.0750E-006,1557.515000,7.2360E-006,1557.515000,2.9505E001
1557.597500,2.1300E-004,1557.597500,1.0170E-006,1557.597500,7.1950E-006,1557.597500,2.9604E001
1557.680000,2.1420E-004,1557.680000,1.0230E-006,1557.680000,7.3110E-006,1557.680000,2.9298E001
1557.762500,2.1270E-004,1557.762500,1.0340E-006,1557.762500,7.3640E-006,1557.762500,2.8884E001
1557.845000,2.1330E-004,1557.845000,1.0580E-006,1557.845000,7.2910E-006,1557.845000,2.9255E001
1557.927500,2.1300E-004,1557.927500,9.5830E-007,1557.927500,7.2720E-006,1557.927500,2.9290E001
1558.010000,2.1320E-004,1558.010000,9.4110E-007,1558.010000,7.2680E-006,1558.010000,2.9334E001
1558.092500,2.1250E-004,1558.092500,9.7410E-007,1558.092500,7.3330E-006,1558.092500,2.8979E001
1558.175000,2.1350E-004,1558.175000,9.6220E-007,1558.175000,7.3160E-006,1558.175000,2.9183E001
1558.257500,2.1290E-004,1558.257500,9.6260E-007,1558.257500,7.3370E-006,1558.257500,2.9017E001
1558.340000,2.1220E-004,1558.340000,9.0870E-007,1558.340000,7.2750E-006,1558.340000,2.9168E001
1558.422500,2.1380E-004,1558.422500,8.9230E-007,1558.422500,7.3490E-006,1558.422500,2.9092E001
1558.505000,2.1250E-004,1558.505000,9.3530E-007,1558.505000,7.3390E-006,1558.505000,2.8955E001
1558.587500,2.1280E-004,1558.587500,8.8240E-007,1558.587500,7.2980E-006,1558.587500,2.9159E001
1558.670000,2.1300E-004,1558.670000,8.9890E-007,1558.670000,7.2680E-006,1558.670000,2.9307E001
1558.752500,2.1330E-004,1558.752500,8.7950E-007,1558.752500,7.4190E-006,1558.752500,2.8751E001
1558.835000,2.1350E-004,1558.835000,8.4020E-007,1558.835000,7.4230E-006,1558.835000,2.8762E001
1558.917500,2.1280E-004,1558.917500,8.3750E-007,1558.917500,7.3760E-006,1558.917500,2.8850E001
1559.000000,2.1440E-004,1559.000000,8.2240E-007,1559.000000,7.5590E-006,1559.000000,2.8364E001
1559.082500,2.1310E-004,1559.082500,8.0660E-007,1559.082500,7.4840E-006,1559.082500,2.8474E001
1559.165000,2.1400E-004,1559.165000,8.8660E-007,1559.165000,7.5070E-006,1559.165000,2.8507E001
1559.247500,2.1390E-004,1559.247500,8.1260E-007,1559.247500,7.5370E-006,1559.247500,2.8380E001
1559.330000,2.1430E-004,1559.330000,7.7890E-007,1559.330000,7.4560E-006,1559.330000,2.8742E001
1559.412500,2.1400E-004,1559.412500,7.8280E-007,1559.412500,7.5250E-006,1559.412500,2.8439E001
1559.495000,2.1430E-004,1559.495000,8.3270E-007,1559.495000,7.5760E-006,1559.495000,2.8287E001
1559.577500,2.1470E-004,1559.577500,7.6670E-007,1559.577500,7.5660E-006,1559.577500,2.8377E001
1559.660000,2.1420E-004,1559.660000,7.6170E-007,1559.660000,7.4520E-006,1559.660000,2.8744E001
1559.742500,2.1490E-004,1559.742500,7.3980E-007,1559.742500,7.5340E-006,1559.742500,2.8524E001
1559.825000,2.1460E-004,1559.825000,7.7570E-007,1559.825000,7.5890E-006,1559.825000,2.8278E001
1559.907500,2.1560E-004,1559.907500,6.4260E-007,1559.907500,7.6170E-006,1559.907500,2.8305E001
1559.990000,2.1430E-004,1559.990000,7.2630E-007,1559.990000,7.6410E-006,1559.990000,2.8046E001
1560.072500,2.1540E-004,1560.072500,7.2950E-007,1560.072500,7.5640E-006,1560.072500,2.8477E001
1560.155000,2.1470E-004,1560.155000,6.8100E-007,1560.155000,7.6250E-006,1560.155000,2.8157E001
1560.237500,2.1470E-004,1560.237500,6.8000E-007,1560.237500,7.5950E-006,1560.237500,2.8269E001
1560.320000,2.1590E-004,1560.320000,7.5040E-007,1560.320000,7.6820E-006,1560.320000,2.8105E001
1560.402500,2.1500E-004,1560.402500,7.4940E-007,1560.402500,7.5690E-006,1560.402500,2.8405E001
1560.485000,2.1520E-004,1560.485000,6.8540E-007,1560.485000,7.5710E-006,1560.485000,2.8424E001
1560.567500,2.1480E-004,1560.567500,6.4880E-007,1560.567500,7.6430E-006,1560.567500,2.8104E001
1560.650000,2.1640E-004,1560.650000,6.7550E-007,1560.650000,7.7280E-006,1560.650000,2.8002E001
1560.732500,2.1490E-004,1560.732500,6.5460E-007,1560.732500,7.5790E-006,1560.732500,2.8355E001
1560.815000,2.1510E-004,1560.815000,7.2260E-007,1560.815000,7.6960E-006,1560.815000,2.7950E001
1560.897500,2.1560E-004,1560.897500,6.4200E-007,1560.897500,7.7260E-006,1560.897500,2.7906E001
1560.980000,2.1480E-004,1560.980000,6.4240E-007,1560.980000,7.6640E-006,1560.980000,2.8027E001
1561.062500,2.1540E-004,1561.062500,5.9480E-007,1561.062500,7.7470E-006,1561.062500,2.7804E001
1561.145000,2.1490E-004,1561.145000,4.8610E-007,1561.145000,7.7280E-006,1561.145000,2.7808E001
1561.227500,2.1610E-004,1561.227500,5.9970E-007,1561.227500,7.7590E-006,1561.227500,2.7852E001
1561.310000,2.1420E-004,1561.310000,6.3720E-007,1561.310000,7.7440E-006,1561.310000,2.7660E001
1561.392500,2.1520E-004,1561.392500,5.5100E-007,1561.392500,7.7340E-006,1561.392500,2.7825E001
1561.475000,2.1530E-004,1561.475000,5.2590E-007,1561.475000,7.8440E-006,1561.475000,2.7448E001
1561.557500,2.1430E-004,1561.557500,4.9910E-007,1561.557500,7.7730E-006,1561.557500,2.7570E001
1561.640000,2.1540E-004,1561.640000,5.9480E-007,1561.640000,7.7670E-006,1561.640000,2.7733E001
1561.722500,2.1480E-004,1561.722500,5.4850E-007,1561.722500,7.8240E-006,1561.722500,2.7454E001
1561.805000,2.1510E-004,1561.805000,5.4860E-007,1561.805000,7.8220E-006,1561.805000,2.7499E001
1561.887500,2.1490E-004,1561.887500,5.0960E-007,1561.887500,7.7830E-006,1561.887500,2.7611E001
1561.970000,2.1580E-004,1561.970000,5.2780E-007,1561.970000,7.8580E-006,1561.970000,2.7462E001
1562.052500,2.1380E-004,1562.052500,4.8450E-007,1562.052500,7.7850E-006,1562.052500,2.7463E001
1562.135000,2.1540E-004,1562.135000,5.0970E-007,1562.135000,7.8720E-006,1562.135000,2.7363E001
1562.217500,2.1470E-004,1562.217500,5.3130E-007,1562.217500,7.8440E-006,1562.217500,2.7371E001
1562.300000,2.1420E-004,1562.300000,5.1710E-007,1562.300000,7.8220E-006,1562.300000,2.7384E001
1562.382500,2.1560E-004,1562.382500,4.7760E-007,1562.382500,7.8930E-006,1562.382500,2.7315E001
1562.465000,2.1440E-004,1562.465000,4.7370E-007,1562.465000,7.7400E-006,1562.465000,2.7700E001
1562.547500,2.1580E-004,1562.547500,5.2190E-007,1562.547500,7.9070E-006,1562.547500,2.7292E001
1562.630000,2.1430E-004,1562.630000,4.6430E-007,1562.630000,7.7770E-006,1562.630000,2.7556E001
1562.712500,2.1580E-004,1562.712500,4.9920E-007,1562.712500,7.9450E-006,1562.712500,2.7162E001
1562.795000,2.1510E-004,1562.795000,4.7010E-007,1562.795000,7.8970E-006,1562.795000,2.7238E001
1562.877500,2.1480E-004,1562.877500,4.4070E-007,1562.877500,7.8440E-006,1562.877500,2.7384E001
1562.960000,2.1580E-004,1562.960000,4.4580E-007,1562.960000,7.9550E-006,1562.960000,2.7128E001
1563.042500,2.1510E-004,1563.042500,4.1310E-007,1563.042500,7.9390E-006,1563.042500,2.7094E001
1563.125000,2.1580E-004,1563.125000,4.5460E-007,1563.125000,7.8980E-006,1563.125000,2.7323E001
1563.207500,2.1510E-004,1563.207500,4.4360E-007,1563.207500,7.8360E-006,1563.207500,2.7450E001
1563.290000,2.1680E-004,1563.290000,4.6830E-007,1563.290000,8.0240E-006,1563.290000,2.7019E001
1563.372500,2.1600E-004,1563.372500,4.2940E-007,1563.372500,7.9270E-006,1563.372500,2.7249E001
1563.455000,2.1560E-004,1563.455000,4.5900E-007,1563.455000,7.9790E-006,1563.455000,2.7021E001
