File,G652D_40_1500_2xtof_przes500v2.csv,
1467.837500,1.3710E-004,1467.837500,3.7780E-006,1467.837500,2.3010E-007,1467.837500,5.9583E002
1467.920000,1.3780E-004,1467.920000,3.8740E-006,1467.920000,2.1940E-007,1467.920000,6.2808E002
1468.002500,1.3930E-004,1468.002500,4.0090E-006,1468.002500,2.4460E-007,1468.002500,5.6950E002
1468.085000,1.3850E-004,1468.085000,3.9750E-006,1468.085000,2.2990E-007,1468.085000,6.0244E002
1468.167500,1.3680E-004,1468.167500,3.9060E-006,1468.167500,2.2730E-007,1468.167500,6.0185E002
1468.250000,1.4110E-004,1468.250000,4.0170E-006,1468.250000,2.5000E-007,1468.250000,5.6440E002
1468.332500,1.4180E-004,1468.332500,4.0840E-006,1468.332500,2.5060E-007,1468.332500,5.6584E002
1468.415000,1.4220E-004,1468.415000,4.0990E-006,1468.415000,2.1430E-007,1468.415000,6.6356E002
1468.497500,1.4310E-004,1468.497500,4.0920E-006,1468.497500,2.2670E-007,1468.497500,6.3123E002
1468.580000,1.4270E-004,1468.580000,4.1500E-006,1468.580000,2.5150E-007,1468.580000,5.6740E002
1468.662500,1.4330E-004,1468.662500,4.1310E-006,1468.662500,2.2130E-007,1468.662500,6.4754E002
1468.745000,1.4430E-004,1468.745000,4.1390E-006,1468.745000,2.0510E-007,1468.745000,7.0356E002
1468.827500,1.4410E-004,1468.827500,4.0880E-006,1468.827500,2.2300E-007,1468.827500,6.4619E002
1468.910000,1.4520E-004,1468.910000,4.1610E-006,1468.910000,2.4630E-007,1468.910000,5.8952E002
1468.992500,1.4630E-004,1468.992500,4.2540E-006,1468.992500,2.4700E-007,1468.992500,5.9231E002
1469.075000,1.4680E-004,1469.075000,4.2300E-006,1469.075000,2.3830E-007,1469.075000,6.1603E002
1469.157500,1.4780E-004,1469.157500,4.2480E-006,1469.157500,2.0050E-007,1469.157500,7.3716E002
1469.240000,1.4850E-004,1469.240000,4.3330E-006,1469.240000,2.4470E-007,1469.240000,6.0687E002
1469.322500,1.4880E-004,1469.322500,4.2970E-006,1469.322500,2.3890E-007,1469.322500,6.2285E002
1469.405000,1.4930E-004,1469.405000,4.3220E-006,1469.405000,1.8790E-007,1469.405000,7.9457E002
1469.487500,1.4970E-004,1469.487500,4.3570E-006,1469.487500,2.3440E-007,1469.487500,6.3865E002
1469.570000,1.4970E-004,1469.570000,4.3870E-006,1469.570000,1.9190E-007,1469.570000,7.8009E002
1469.652500,1.5060E-004,1469.652500,4.3840E-006,1469.652500,2.0840E-007,1469.652500,7.2265E002
1469.735000,1.5080E-004,1469.735000,4.3480E-006,1469.735000,2.4250E-007,1469.735000,6.2186E002
1469.817500,1.5050E-004,1469.817500,4.3540E-006,1469.817500,2.1500E-007,1469.817500,7.0000E002
1469.900000,1.4690E-004,1469.900000,4.2480E-006,1469.900000,1.7960E-007,1469.900000,8.1793E002
