
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C),Wavelength(D),Level(D)
1463.663000,1.3770E-004,1463.663000,5.2260E-005,1463.663000,1.2670E-005,1463.663000,5.6100E-006
1463.696000,1.3800E-004,1463.696000,5.2390E-005,1463.696000,1.2620E-005,1463.696000,5.5560E-006
1463.729000,1.3820E-004,1463.729000,5.2300E-005,1463.729000,1.2600E-005,1463.729000,5.6350E-006
1463.762000,1.3870E-004,1463.762000,5.2540E-005,1463.762000,1.2600E-005,1463.762000,5.6460E-006
1463.795000,1.3910E-004,1463.795000,5.2820E-005,1463.795000,1.2620E-005,1463.795000,5.6980E-006
1463.828000,1.3970E-004,1463.828000,5.2920E-005,1463.828000,1.2740E-005,1463.828000,5.6910E-006
1463.861000,1.3950E-004,1463.861000,5.3090E-005,1463.861000,1.2760E-005,1463.861000,5.6440E-006
1463.894000,1.3940E-004,1463.894000,5.2990E-005,1463.894000,1.2670E-005,1463.894000,5.5750E-006
1463.927000,1.3960E-004,1463.927000,5.2920E-005,1463.927000,1.2690E-005,1463.927000,5.5780E-006
1463.960000,1.4040E-004,1463.960000,5.3010E-005,1463.960000,1.2730E-005,1463.960000,5.6950E-006
1463.993000,1.4060E-004,1463.993000,5.3420E-005,1463.993000,1.2770E-005,1463.993000,5.6230E-006
1464.026000,1.4120E-004,1464.026000,5.3480E-005,1464.026000,1.2660E-005,1464.026000,5.6960E-006
1464.059000,1.4160E-004,1464.059000,5.3540E-005,1464.059000,1.2740E-005,1464.059000,5.6480E-006
1464.092000,1.4180E-004,1464.092000,5.3760E-005,1464.092000,1.2730E-005,1464.092000,5.6220E-006
1464.125000,1.4210E-004,1464.125000,5.3780E-005,1464.125000,1.2710E-005,1464.125000,5.5020E-006
1464.158000,1.4260E-004,1464.158000,5.3810E-005,1464.158000,1.2730E-005,1464.158000,5.6260E-006
1464.191000,1.4280E-004,1464.191000,5.3960E-005,1464.191000,1.2760E-005,1464.191000,5.5780E-006
1464.224000,1.4300E-004,1464.224000,5.4050E-005,1464.224000,1.2740E-005,1464.224000,5.5720E-006
1464.257000,1.4390E-004,1464.257000,5.4260E-005,1464.257000,1.2800E-005,1464.257000,5.5890E-006
1464.290000,1.4420E-004,1464.290000,5.4600E-005,1464.290000,1.2830E-005,1464.290000,5.6700E-006
1464.323000,1.4470E-004,1464.323000,5.4710E-005,1464.323000,1.2800E-005,1464.323000,5.5950E-006
1464.356000,1.4450E-004,1464.356000,5.4860E-005,1464.356000,1.2830E-005,1464.356000,5.6100E-006
1464.389000,1.4490E-004,1464.389000,5.4880E-005,1464.389000,1.2830E-005,1464.389000,5.4880E-006
1464.422000,1.4560E-004,1464.422000,5.4820E-005,1464.422000,1.2730E-005,1464.422000,5.5310E-006
1464.455000,1.4560E-004,1464.455000,5.5080E-005,1464.455000,1.2840E-005,1464.455000,5.5080E-006
