
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C),Wavelength(D),Level(D),Wavelength(E),Level(E)
1464.752000,1.3950E-004,1464.752000,5.3330E-005,1464.752000,1.2330E-005,1464.752000,1.2330E-005,1464.752000,1.1314E001
1464.768500,1.3980E-004,1464.768500,5.3590E-005,1464.768500,1.2390E-005,1464.768500,1.2390E-005,1464.768500,1.1283E001
1464.785000,1.4020E-004,1464.785000,5.3740E-005,1464.785000,1.2400E-005,1464.785000,1.2400E-005,1464.785000,1.1306E001
1464.801500,1.4010E-004,1464.801500,5.3800E-005,1464.801500,1.2410E-005,1464.801500,1.2410E-005,1464.801500,1.1289E001
1464.818000,1.3990E-004,1464.818000,5.3520E-005,1464.818000,1.2430E-005,1464.818000,1.2430E-005,1464.818000,1.1255E001
1464.834500,1.4020E-004,1464.834500,5.3850E-005,1464.834500,1.2350E-005,1464.834500,1.2350E-005,1464.834500,1.1352E001
1464.851000,1.4020E-004,1464.851000,5.3990E-005,1464.851000,1.2410E-005,1464.851000,1.2410E-005,1464.851000,1.1297E001
1464.867500,1.4010E-004,1464.867500,5.3690E-005,1464.867500,1.2280E-005,1464.867500,1.2280E-005,1464.867500,1.1409E001
1464.884000,1.4010E-004,1464.884000,5.3700E-005,1464.884000,1.2400E-005,1464.884000,1.2400E-005,1464.884000,1.1298E001
1464.900500,1.4030E-004,1464.900500,5.3930E-005,1464.900500,1.2440E-005,1464.900500,1.2440E-005,1464.900500,1.1278E001
1464.917000,1.4030E-004,1464.917000,5.4040E-005,1464.917000,1.2400E-005,1464.917000,1.2400E-005,1464.917000,1.1315E001
1464.933500,1.4070E-004,1464.933500,5.4100E-005,1464.933500,1.2400E-005,1464.933500,1.2400E-005,1464.933500,1.1347E001
1464.950000,1.4070E-004,1464.950000,5.4190E-005,1464.950000,1.2400E-005,1464.950000,1.2400E-005,1464.950000,1.1347E001
1464.966500,1.4100E-004,1464.966500,5.4340E-005,1464.966500,1.2460E-005,1464.966500,1.2460E-005,1464.966500,1.1316E001
1464.983000,1.4130E-004,1464.983000,5.4460E-005,1464.983000,1.2500E-005,1464.983000,1.2500E-005,1464.983000,1.1304E001
1464.999500,1.4180E-004,1464.999500,5.4550E-005,1464.999500,1.2510E-005,1464.999500,1.2510E-005,1464.999500,1.1335E001
1465.016000,1.4150E-004,1465.016000,5.4610E-005,1465.016000,1.2570E-005,1465.016000,1.2570E-005,1465.016000,1.1257E001
1465.032500,1.4190E-004,1465.032500,5.4610E-005,1465.032500,1.2560E-005,1465.032500,1.2560E-005,1465.032500,1.1298E001
1465.049000,1.4170E-004,1465.049000,5.4640E-005,1465.049000,1.2550E-005,1465.049000,1.2550E-005,1465.049000,1.1291E001
1465.065500,1.4160E-004,1465.065500,5.4610E-005,1465.065500,1.2570E-005,1465.065500,1.2570E-005,1465.065500,1.1265E001
1465.082000,1.4170E-004,1465.082000,5.4830E-005,1465.082000,1.2570E-005,1465.082000,1.2570E-005,1465.082000,1.1273E001
1465.098500,1.4150E-004,1465.098500,5.4610E-005,1465.098500,1.2550E-005,1465.098500,1.2550E-005,1465.098500,1.1275E001
1465.115000,1.4100E-004,1465.115000,5.4420E-005,1465.115000,1.2390E-005,1465.115000,1.2390E-005,1465.115000,1.1380E001
1465.131500,1.4010E-004,1465.131500,5.4140E-005,1465.131500,1.2350E-005,1465.131500,1.2350E-005,1465.131500,1.1344E001
1465.148000,1.4030E-004,1465.148000,5.4360E-005,1465.148000,1.2410E-005,1465.148000,1.2410E-005,1465.148000,1.1305E001
1465.164500,1.4060E-004,1465.164500,5.4530E-005,1465.164500,1.2460E-005,1465.164500,1.2460E-005,1465.164500,1.1284E001
1465.181000,1.4110E-004,1465.181000,5.4810E-005,1465.181000,1.2420E-005,1465.181000,1.2420E-005,1465.181000,1.1361E001
1465.197500,1.4160E-004,1465.197500,5.5070E-005,1465.197500,1.2560E-005,1465.197500,1.2560E-005,1465.197500,1.1274E001
1465.214000,1.4230E-004,1465.214000,5.5110E-005,1465.214000,1.2620E-005,1465.214000,1.2620E-005,1465.214000,1.1276E001
1465.230500,1.4280E-004,1465.230500,5.5360E-005,1465.230500,1.2600E-005,1465.230500,1.2600E-005,1465.230500,1.1333E001
1465.247000,1.4310E-004,1465.247000,5.5450E-005,1465.247000,1.2630E-005,1465.247000,1.2630E-005,1465.247000,1.1330E001
1465.263500,1.4290E-004,1465.263500,5.5620E-005,1465.263500,1.2610E-005,1465.263500,1.2610E-005,1465.263500,1.1332E001
1465.280000,1.4270E-004,1465.280000,5.5580E-005,1465.280000,1.2550E-005,1465.280000,1.2550E-005,1465.280000,1.1371E001
1465.296500,1.4320E-004,1465.296500,5.5640E-005,1465.296500,1.2690E-005,1465.296500,1.2690E-005,1465.296500,1.1284E001
1465.313000,1.4380E-004,1465.313000,5.5960E-005,1465.313000,1.2720E-005,1465.313000,1.2720E-005,1465.313000,1.1305E001
1465.329500,1.4440E-004,1465.329500,5.6100E-005,1465.329500,1.2690E-005,1465.329500,1.2690E-005,1465.329500,1.1379E001
1465.346000,1.4450E-004,1465.346000,5.6140E-005,1465.346000,1.2760E-005,1465.346000,1.2760E-005,1465.346000,1.1324E001
1465.362500,1.4460E-004,1465.362500,5.6310E-005,1465.362500,1.2790E-005,1465.362500,1.2790E-005,1465.362500,1.1306E001
1465.379000,1.4470E-004,1465.379000,5.6460E-005,1465.379000,1.2800E-005,1465.379000,1.2800E-005,1465.379000,1.1305E001
1465.395500,1.4480E-004,1465.395500,5.6440E-005,1465.395500,1.2820E-005,1465.395500,1.2820E-005,1465.395500,1.1295E001
1465.412000,1.4510E-004,1465.412000,5.6590E-005,1465.412000,1.2820E-005,1465.412000,1.2820E-005,1465.412000,1.1318E001
1465.428500,1.4550E-004,1465.428500,5.6790E-005,1465.428500,1.2840E-005,1465.428500,1.2840E-005,1465.428500,1.1332E001
1465.445000,1.4580E-004,1465.445000,5.6850E-005,1465.445000,1.2770E-005,1465.445000,1.2770E-005,1465.445000,1.1417E001
1465.461500,1.4590E-004,1465.461500,5.7150E-005,1465.461500,1.2900E-005,1465.461500,1.2900E-005,1465.461500,1.1310E001
1465.478000,1.4630E-004,1465.478000,5.7220E-005,1465.478000,1.2880E-005,1465.478000,1.2880E-005,1465.478000,1.1359E001
1465.494500,1.4650E-004,1465.494500,5.7280E-005,1465.494500,1.2970E-005,1465.494500,1.2970E-005,1465.494500,1.1295E001
1465.511000,1.4710E-004,1465.511000,5.7470E-005,1465.511000,1.2960E-005,1465.511000,1.2960E-005,1465.511000,1.1350E001
1465.527500,1.4720E-004,1465.527500,5.7690E-005,1465.527500,1.2960E-005,1465.527500,1.2960E-005,1465.527500,1.1358E001
1465.544000,1.4700E-004,1465.544000,5.7580E-005,1465.544000,1.2990E-005,1465.544000,1.2990E-005,1465.544000,1.1316E001
1465.560500,1.4720E-004,1465.560500,5.7750E-005,1465.560500,1.3010E-005,1465.560500,1.3010E-005,1465.560500,1.1314E001
1465.577000,1.4720E-004,1465.577000,5.7690E-005,1465.577000,1.3040E-005,1465.577000,1.3040E-005,1465.577000,1.1288E001
1465.593500,1.4750E-004,1465.593500,5.7730E-005,1465.593500,1.3000E-005,1465.593500,1.3000E-005,1465.593500,1.1346E001
1465.610000,1.4760E-004,1465.610000,5.7810E-005,1465.610000,1.2990E-005,1465.610000,1.2990E-005,1465.610000,1.1363E001
1465.626500,1.4770E-004,1465.626500,5.7810E-005,1465.626500,1.3010E-005,1465.626500,1.3010E-005,1465.626500,1.1353E001
1465.643000,1.4790E-004,1465.643000,5.7980E-005,1465.643000,1.2980E-005,1465.643000,1.2980E-005,1465.643000,1.1394E001
1465.659500,1.4830E-004,1465.659500,5.8110E-005,1465.659500,1.3030E-005,1465.659500,1.3030E-005,1465.659500,1.1381E001
1465.676000,1.4820E-004,1465.676000,5.8130E-005,1465.676000,1.3160E-005,1465.676000,1.3160E-005,1465.676000,1.1261E001
1465.692500,1.4860E-004,1465.692500,5.8280E-005,1465.692500,1.3140E-005,1465.692500,1.3140E-005,1465.692500,1.1309E001
1465.709000,1.4920E-004,1465.709000,5.8430E-005,1465.709000,1.3150E-005,1465.709000,1.3150E-005,1465.709000,1.1346E001
1465.725500,1.4940E-004,1465.725500,5.8670E-005,1465.725500,1.3160E-005,1465.725500,1.3160E-005,1465.725500,1.1353E001
1465.742000,1.4930E-004,1465.742000,5.8650E-005,1465.742000,1.3120E-005,1465.742000,1.3120E-005,1465.742000,1.1380E001
1465.758500,1.4950E-004,1465.758500,5.8760E-005,1465.758500,1.3230E-005,1465.758500,1.3230E-005,1465.758500,1.1300E001
1465.775000,1.4980E-004,1465.775000,5.8880E-005,1465.775000,1.3120E-005,1465.775000,1.3120E-005,1465.775000,1.1418E001
1465.791500,1.4970E-004,1465.791500,5.8990E-005,1465.791500,1.3150E-005,1465.791500,1.3150E-005,1465.791500,1.1384E001
1465.808000,1.4970E-004,1465.808000,5.8860E-005,1465.808000,1.3120E-005,1465.808000,1.3120E-005,1465.808000,1.1410E001
1465.824500,1.4960E-004,1465.824500,5.8880E-005,1465.824500,1.3250E-005,1465.824500,1.3250E-005,1465.824500,1.1291E001
1465.841000,1.4970E-004,1465.841000,5.8950E-005,1465.841000,1.3190E-005,1465.841000,1.3190E-005,1465.841000,1.1350E001
1465.857500,1.4960E-004,1465.857500,5.8950E-005,1465.857500,1.3190E-005,1465.857500,1.3190E-005,1465.857500,1.1342E001
1465.874000,1.5010E-004,1465.874000,5.9030E-005,1465.874000,1.3270E-005,1465.874000,1.3270E-005,1465.874000,1.1311E001
1465.890500,1.5030E-004,1465.890500,5.9250E-005,1465.890500,1.3300E-005,1465.890500,1.3300E-005,1465.890500,1.1301E001
1465.907000,1.5030E-004,1465.907000,5.9200E-005,1465.907000,1.3300E-005,1465.907000,1.3300E-005,1465.907000,1.1301E001
1465.923500,1.5070E-004,1465.923500,5.9380E-005,1465.923500,1.3270E-005,1465.923500,1.3270E-005,1465.923500,1.1356E001
1465.940000,1.5080E-004,1465.940000,5.9590E-005,1465.940000,1.3300E-005,1465.940000,1.3300E-005,1465.940000,1.1338E001
1465.956500,1.5080E-004,1465.956500,5.9590E-005,1465.956500,1.3240E-005,1465.956500,1.3240E-005,1465.956500,1.1390E001
1465.973000,1.5070E-004,1465.973000,5.9500E-005,1465.973000,1.3310E-005,1465.973000,1.3310E-005,1465.973000,1.1322E001
1465.989500,1.5060E-004,1465.989500,5.9440E-005,1465.989500,1.3230E-005,1465.989500,1.3230E-005,1465.989500,1.1383E001
1466.006000,1.5050E-004,1466.006000,5.9530E-005,1466.006000,1.3230E-005,1466.006000,1.3230E-005,1466.006000,1.1376E001
1466.022500,1.5060E-004,1466.022500,5.9650E-005,1466.022500,1.3270E-005,1466.022500,1.3270E-005,1466.022500,1.1349E001
1466.039000,1.5110E-004,1466.039000,5.9740E-005,1466.039000,1.3260E-005,1466.039000,1.3260E-005,1466.039000,1.1395E001
1466.055500,1.5150E-004,1466.055500,5.9870E-005,1466.055500,1.3350E-005,1466.055500,1.3350E-005,1466.055500,1.1348E001
1466.072000,1.5120E-004,1466.072000,5.9910E-005,1466.072000,1.3280E-005,1466.072000,1.3280E-005,1466.072000,1.1386E001
1466.088500,1.5160E-004,1466.088500,5.9970E-005,1466.088500,1.3260E-005,1466.088500,1.3260E-005,1466.088500,1.1433E001
1466.105000,1.5180E-004,1466.105000,6.0000E-005,1466.105000,1.3310E-005,1466.105000,1.3310E-005,1466.105000,1.1405E001
1466.121500,1.5190E-004,1466.121500,6.0100E-005,1466.121500,1.3410E-005,1466.121500,1.3410E-005,1466.121500,1.1327E001
1466.138000,1.5180E-004,1466.138000,6.0420E-005,1466.138000,1.3430E-005,1466.138000,1.3430E-005,1466.138000,1.1303E001
1466.154500,1.5240E-004,1466.154500,6.0570E-005,1466.154500,1.3320E-005,1466.154500,1.3320E-005,1466.154500,1.1441E001
1466.171000,1.5280E-004,1466.171000,6.0490E-005,1466.171000,1.3360E-005,1466.171000,1.3360E-005,1466.171000,1.1437E001
1466.187500,1.5300E-004,1466.187500,6.0510E-005,1466.187500,1.3470E-005,1466.187500,1.3470E-005,1466.187500,1.1359E001
1466.204000,1.5320E-004,1466.204000,6.0700E-005,1466.204000,1.3450E-005,1466.204000,1.3450E-005,1466.204000,1.1390E001
1466.220500,1.5340E-004,1466.220500,6.0850E-005,1466.220500,1.3430E-005,1466.220500,1.3430E-005,1466.220500,1.1422E001
