
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C)
1469.801000,1.5420E-004,1469.801000,3.1280E-006,1469.801000,4.9297E001
1469.817500,1.5470E-004,1469.817500,3.1690E-006,1469.817500,4.8817E001
1469.834000,1.5470E-004,1469.834000,3.1640E-006,1469.834000,4.8894E001
1469.850500,1.5480E-004,1469.850500,3.1540E-006,1469.850500,4.9081E001
1469.867000,1.5510E-004,1469.867000,3.1800E-006,1469.867000,4.8774E001
1469.883500,1.5490E-004,1469.883500,3.1490E-006,1469.883500,4.9190E001
1469.900000,1.5500E-004,1469.900000,3.0730E-006,1469.900000,5.0439E001
1469.916500,1.5530E-004,1469.916500,3.2140E-006,1469.916500,4.8320E001
1469.933000,1.5540E-004,1469.933000,3.1940E-006,1469.933000,4.8654E001
1469.949500,1.5560E-004,1469.949500,3.2030E-006,1469.949500,4.8579E001
1469.966000,1.5580E-004,1469.966000,3.2650E-006,1469.966000,4.7718E001
1469.982500,1.5570E-004,1469.982500,3.1490E-006,1469.982500,4.9444E001
1469.999000,1.5600E-004,1469.999000,3.1920E-006,1469.999000,4.8872E001
1470.015500,1.5620E-004,1470.015500,3.2580E-006,1470.015500,4.7944E001
1470.032000,1.5630E-004,1470.032000,3.1490E-006,1470.032000,4.9635E001
1470.048500,1.5650E-004,1470.048500,3.1350E-006,1470.048500,4.9920E001
1470.065000,1.5670E-004,1470.065000,3.1070E-006,1470.065000,5.0435E001
1470.081500,1.5650E-004,1470.081500,3.1280E-006,1470.081500,5.0032E001
1470.098000,1.5680E-004,1470.098000,3.2140E-006,1470.098000,4.8787E001
1470.114500,1.5660E-004,1470.114500,3.1820E-006,1470.114500,4.9214E001
1470.131000,1.5670E-004,1470.131000,3.1790E-006,1470.131000,4.9292E001
1470.147500,1.5660E-004,1470.147500,3.1940E-006,1470.147500,4.9029E001
1470.164000,1.5690E-004,1470.164000,3.2240E-006,1470.164000,4.8666E001
1470.180500,1.5690E-004,1470.180500,3.2290E-006,1470.180500,4.8591E001
1470.197000,1.5690E-004,1470.197000,3.0940E-006,1470.197000,5.0711E001
1470.213500,1.5700E-004,1470.213500,3.1580E-006,1470.213500,4.9715E001
1470.230000,1.5710E-004,1470.230000,3.0830E-006,1470.230000,5.0957E001
1470.246500,1.5730E-004,1470.246500,3.2120E-006,1470.246500,4.8973E001
1470.263000,1.5760E-004,1470.263000,3.2100E-006,1470.263000,4.9097E001
1470.279500,1.5740E-004,1470.279500,3.1410E-006,1470.279500,5.0111E001
1470.296000,1.5760E-004,1470.296000,3.2140E-006,1470.296000,4.9035E001
1470.312500,1.5740E-004,1470.312500,3.0940E-006,1470.312500,5.0873E001
1470.329000,1.5750E-004,1470.329000,3.2330E-006,1470.329000,4.8716E001
1470.345500,1.5730E-004,1470.345500,3.1630E-006,1470.345500,4.9731E001
1470.362000,1.5710E-004,1470.362000,3.1930E-006,1470.362000,4.9201E001
1470.378500,1.5690E-004,1470.378500,3.2010E-006,1470.378500,4.9016E001
1470.395000,1.5740E-004,1470.395000,3.1200E-006,1470.395000,5.0449E001
1470.411500,1.5790E-004,1470.411500,3.1480E-006,1470.411500,5.0159E001
1470.428000,1.5790E-004,1470.428000,3.2250E-006,1470.428000,4.8961E001
