
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C),Wavelength(D),Level(D)
1498.032500,1.5960E-004,1498.032500,4.9380E-007,1498.032500,1.7740E-006,1498.032500,8.9966E001
1498.115000,1.5960E-004,1498.115000,4.5540E-007,1498.115000,1.7540E-006,1498.115000,9.0992E001
1498.197500,1.5900E-004,1498.197500,5.5390E-007,1498.197500,1.8060E-006,1498.197500,8.8040E001
1498.280000,1.5910E-004,1498.280000,5.2610E-007,1498.280000,1.7340E-006,1498.280000,9.1753E001
1498.362500,1.5880E-004,1498.362500,5.4310E-007,1498.362500,1.7590E-006,1498.362500,9.0279E001
1498.445000,1.5820E-004,1498.445000,4.9110E-007,1498.445000,1.7420E-006,1498.445000,9.0815E001
1498.527500,1.5810E-004,1498.527500,4.7280E-007,1498.527500,1.6050E-006,1498.527500,9.8505E001
1498.610000,1.5910E-004,1498.610000,5.2390E-007,1498.610000,1.7790E-006,1498.610000,8.9432E001
1498.692500,1.5850E-004,1498.692500,5.2260E-007,1498.692500,1.7060E-006,1498.692500,9.2907E001
1498.775000,1.5860E-004,1498.775000,4.5330E-007,1498.775000,1.7650E-006,1498.775000,8.9858E001
1498.857500,1.5850E-004,1498.857500,4.7770E-007,1498.857500,1.7600E-006,1498.857500,9.0057E001
1498.940000,1.5830E-004,1498.940000,4.9680E-007,1498.940000,1.7530E-006,1498.940000,9.0302E001
