
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C),Wavelength(D),Level(D),Wavelength(E),Level(E)
1465.968000,1.2640E-004,1465.968000,2.0190E-006,1465.968000,4.2660E-007,1465.968000,1.2480E-006,1465.968000,1.0128E002
1465.984480,1.2680E-004,1465.984480,2.0960E-006,1465.984480,4.1350E-007,1465.984480,1.1990E-006,1465.984480,1.0575E002
1466.000960,1.2680E-004,1466.000960,2.0120E-006,1466.000960,3.9820E-007,1466.000960,1.1860E-006,1466.000960,1.0691E002
1466.017440,1.2700E-004,1466.017440,2.0360E-006,1466.017440,4.0410E-007,1466.017440,1.2290E-006,1466.017440,1.0334E002
1466.033920,1.2690E-004,1466.033920,2.0850E-006,1466.033920,4.2980E-007,1466.033920,1.1630E-006,1466.033920,1.0911E002
1466.050400,1.2690E-004,1466.050400,2.0360E-006,1466.050400,4.0130E-007,1466.050400,1.1630E-006,1466.050400,1.0911E002
1466.066880,1.2660E-004,1466.066880,2.0810E-006,1466.066880,4.1440E-007,1466.066880,1.2000E-006,1466.066880,1.0550E002
1466.083360,1.2670E-004,1466.083360,2.0870E-006,1466.083360,4.1200E-007,1466.083360,1.2210E-006,1466.083360,1.0377E002
1466.099840,1.2700E-004,1466.099840,2.0720E-006,1466.099840,4.1650E-007,1466.099840,1.2530E-006,1466.099840,1.0136E002
1466.116320,1.2730E-004,1466.116320,2.1340E-006,1466.116320,4.4500E-007,1466.116320,1.2260E-006,1466.116320,1.0383E002
1466.132800,1.2720E-004,1466.132800,2.0600E-006,1466.132800,3.7550E-007,1466.132800,1.1980E-006,1466.132800,1.0618E002
1466.149280,1.2730E-004,1466.149280,2.1260E-006,1466.149280,3.4590E-007,1466.149280,1.2440E-006,1466.149280,1.0233E002
1466.165760,1.2790E-004,1466.165760,1.9870E-006,1466.165760,4.1590E-007,1466.165760,1.2010E-006,1466.165760,1.0649E002
1466.182240,1.2810E-004,1466.182240,2.0890E-006,1466.182240,4.0610E-007,1466.182240,1.1590E-006,1466.182240,1.1053E002
1466.198720,1.2810E-004,1466.198720,2.1240E-006,1466.198720,3.8640E-007,1466.198720,1.2330E-006,1466.198720,1.0389E002
1466.215200,1.2800E-004,1466.215200,2.0400E-006,1466.215200,4.5080E-007,1466.215200,1.2120E-006,1466.215200,1.0561E002
1466.231680,1.2810E-004,1466.231680,2.0510E-006,1466.231680,3.8700E-007,1466.231680,1.1520E-006,1466.231680,1.1120E002
1466.248160,1.2810E-004,1466.248160,2.0360E-006,1466.248160,4.3220E-007,1466.248160,1.2550E-006,1466.248160,1.0207E002
1466.264640,1.2770E-004,1466.264640,2.1050E-006,1466.264640,4.8610E-007,1466.264640,1.1690E-006,1466.264640,1.0924E002
1466.281120,1.2660E-004,1466.281120,2.0740E-006,1466.281120,3.8740E-007,1466.281120,1.1520E-006,1466.281120,1.0990E002
1466.297600,1.2650E-004,1466.297600,2.0680E-006,1466.297600,3.9990E-007,1466.297600,1.2150E-006,1466.297600,1.0412E002
1466.314080,1.2730E-004,1466.314080,2.0230E-006,1466.314080,4.5830E-007,1466.314080,1.1400E-006,1466.314080,1.1167E002
1466.330560,1.2840E-004,1466.330560,2.1320E-006,1466.330560,4.7860E-007,1466.330560,1.1500E-006,1466.330560,1.1165E002
1466.347040,1.2870E-004,1466.347040,2.1170E-006,1466.347040,4.2700E-007,1466.347040,1.1940E-006,1466.347040,1.0779E002
1466.363520,1.2910E-004,1466.363520,2.0810E-006,1466.363520,3.6000E-007,1466.363520,1.1600E-006,1466.363520,1.1129E002
1466.380000,1.2960E-004,1466.380000,2.0320E-006,1466.380000,4.1310E-007,1466.380000,1.1190E-006,1466.380000,1.1582E002
1466.396480,1.2980E-004,1466.396480,2.0940E-006,1466.396480,3.9810E-007,1466.396480,1.2270E-006,1466.396480,1.0579E002
1466.412960,1.3030E-004,1466.412960,2.0150E-006,1466.412960,4.7220E-007,1466.412960,1.2130E-006,1466.412960,1.0742E002
