
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C),Wavelength(J),Level(J)
1461.633500,8.9400E-005,1461.633500,1.5570E-007,1461.633500,6.9170E-007,1461.633500,5.7418E002
1461.650000,8.9410E-005,1461.650000,1.2030E-007,1461.650000,7.1490E-007,1461.650000,7.4323E002
1461.666500,8.9260E-005,1461.666500,1.2240E-007,1461.666500,7.0420E-007,1461.666500,7.2925E002
1461.683000,8.9090E-005,1461.683000,9.8630E-008,1461.683000,7.1260E-007,1461.683000,9.0327E002
1461.699500,8.9470E-005,1461.699500,1.4610E-007,1461.699500,7.1770E-007,1461.699500,6.1239E002
1461.716000,8.9650E-005,1461.716000,7.8500E-008,1461.716000,7.2380E-007,1461.716000,1.1420E003
1461.732500,8.9970E-005,1461.732500,9.6220E-008,1461.732500,7.4650E-007,1461.732500,9.3504E002
1461.749000,9.0120E-005,1461.749000,9.7460E-008,1461.749000,6.6600E-007,1461.749000,9.2469E002
1461.765500,9.0200E-005,1461.765500,1.2170E-007,1461.765500,6.5200E-007,1461.765500,7.4117E002
1461.782000,9.0330E-005,1461.782000,1.0870E-007,1461.782000,7.3600E-007,1461.782000,8.3100E002
1461.798500,9.0500E-005,1461.798500,1.1890E-007,1461.798500,7.2660E-007,1461.798500,7.6114E002
1461.815000,9.0550E-005,1461.815000,1.3970E-007,1461.815000,7.0230E-007,1461.815000,6.4817E002
1461.831500,9.1060E-005,1461.831500,1.2700E-007,1461.831500,7.5510E-007,1461.831500,7.1701E002
1461.848000,9.0870E-005,1461.848000,1.3900E-007,1461.848000,7.4030E-007,1461.848000,6.5374E002
1461.864500,9.1090E-005,1461.864500,1.2920E-007,1461.864500,7.2440E-007,1461.864500,7.0503E002
1461.881000,9.1220E-005,1461.881000,1.0110E-007,1461.881000,6.9030E-007,1461.881000,9.0227E002
1461.897500,9.1080E-005,1461.897500,1.3410E-007,1461.897500,7.2780E-007,1461.897500,6.7919E002
1461.914000,9.1370E-005,1461.914000,1.0560E-007,1461.914000,7.4330E-007,1461.914000,8.6525E002
1461.930500,9.1370E-005,1461.930500,1.3040E-007,1461.930500,7.1210E-007,1461.930500,7.0069E002
1461.947000,9.1410E-005,1461.947000,1.3140E-007,1461.947000,7.4520E-007,1461.947000,6.9566E002
1461.963500,9.1600E-005,1461.963500,9.9760E-008,1461.963500,7.1020E-007,1461.963500,9.1820E002
1461.980000,9.1800E-005,1461.980000,1.5160E-007,1461.980000,7.8370E-007,1461.980000,6.0554E002
1461.996500,9.1880E-005,1461.996500,8.9410E-008,1461.996500,7.7250E-007,1461.996500,1.0276E003
1462.013000,9.2050E-005,1462.013000,1.2610E-007,1462.013000,7.4200E-007,1462.013000,7.2998E002
1462.029500,9.2240E-005,1462.029500,1.2930E-007,1462.029500,6.8160E-007,1462.029500,7.1338E002
1462.046000,9.2290E-005,1462.046000,1.3040E-007,1462.046000,7.2700E-007,1462.046000,7.0775E002
1462.062500,9.2330E-005,1462.062500,1.0730E-007,1462.062500,7.0960E-007,1462.062500,8.6048E002
1462.079000,9.2530E-005,1462.079000,1.3530E-007,1462.079000,7.3410E-007,1462.079000,6.8389E002
1462.095500,9.2650E-005,1462.095500,6.9800E-008,1462.095500,7.1370E-007,1462.095500,1.3274E003
1462.112000,9.2800E-005,1462.112000,1.3410E-007,1462.112000,7.4330E-007,1462.112000,6.9202E002
1462.128500,9.2670E-005,1462.128500,1.2910E-007,1462.128500,6.7390E-007,1462.128500,7.1782E002
