
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C)
1464.257000,1.3620E-004,1464.257000,6.2000E-005,1464.257000,2.9000E-005
1464.290000,1.3630E-004,1464.290000,6.2130E-005,1464.290000,2.9190E-005
1464.323000,1.3680E-004,1464.323000,6.2210E-005,1464.323000,2.9320E-005
1464.356000,1.3750E-004,1464.356000,6.2450E-005,1464.356000,2.9320E-005
1464.389000,1.3800E-004,1464.389000,6.2860E-005,1464.389000,2.9550E-005
1464.422000,1.3770E-004,1464.422000,6.3050E-005,1464.422000,2.9710E-005
1464.455000,1.3850E-004,1464.455000,6.3450E-005,1464.455000,2.9860E-005
1464.488000,1.3890E-004,1464.488000,6.3500E-005,1464.488000,3.0030E-005
1464.521000,1.3920E-004,1464.521000,6.3450E-005,1464.521000,3.0200E-005
1464.554000,1.3970E-004,1464.554000,6.3540E-005,1464.554000,3.0180E-005
1464.587000,1.4020E-004,1464.587000,6.3560E-005,1464.587000,3.0280E-005
1464.620000,1.4080E-004,1464.620000,6.3910E-005,1464.620000,3.0430E-005
1464.653000,1.4090E-004,1464.653000,6.4210E-005,1464.653000,3.0560E-005
1464.686000,1.4110E-004,1464.686000,6.4400E-005,1464.686000,3.0690E-005
1464.719000,1.4110E-004,1464.719000,6.4590E-005,1464.719000,3.0780E-005
1464.752000,1.4150E-004,1464.752000,6.4440E-005,1464.752000,3.0970E-005
1464.785000,1.4170E-004,1464.785000,6.4550E-005,1464.785000,3.1040E-005
1464.818000,1.4240E-004,1464.818000,6.4640E-005,1464.818000,3.0930E-005
1464.851000,1.4270E-004,1464.851000,6.4830E-005,1464.851000,3.1120E-005
1464.884000,1.4290E-004,1464.884000,6.5190E-005,1464.884000,3.1160E-005
1464.917000,1.4310E-004,1464.917000,6.5470E-005,1464.917000,3.1460E-005
1464.950000,1.4300E-004,1464.950000,6.5470E-005,1464.950000,3.1510E-005
1464.983000,1.4290E-004,1464.983000,6.5300E-005,1464.983000,3.1470E-005
1465.016000,1.4290E-004,1465.016000,6.5220E-005,1465.016000,3.1510E-005
