
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C)
1468.200500,1.4550E-004,1468.200500,8.0230E-005,1468.200500,1.8135E000
1468.217000,1.4550E-004,1468.217000,8.0210E-005,1468.217000,1.8140E000
1468.233500,1.4530E-004,1468.233500,8.0230E-005,1468.233500,1.8110E000
1468.250000,1.4520E-004,1468.250000,8.0250E-005,1468.250000,1.8093E000
1468.266500,1.4550E-004,1468.266500,8.0190E-005,1468.266500,1.8144E000
1468.283000,1.4560E-004,1468.283000,8.0380E-005,1468.283000,1.8114E000
1468.299500,1.4550E-004,1468.299500,8.0450E-005,1468.299500,1.8086E000
1468.316000,1.4560E-004,1468.316000,8.0450E-005,1468.316000,1.8098E000
1468.332500,1.4610E-004,1468.332500,8.0770E-005,1468.332500,1.8088E000
1468.349000,1.4620E-004,1468.349000,8.0740E-005,1468.349000,1.8108E000
1468.365500,1.4640E-004,1468.365500,8.0810E-005,1468.365500,1.8117E000
1468.382000,1.4620E-004,1468.382000,8.0830E-005,1468.382000,1.8087E000
1468.398500,1.4630E-004,1468.398500,8.1090E-005,1468.398500,1.8042E000
1468.415000,1.4670E-004,1468.415000,8.1000E-005,1468.415000,1.8111E000
1468.431500,1.4660E-004,1468.431500,8.1040E-005,1468.431500,1.8090E000
1468.448000,1.4670E-004,1468.448000,8.1190E-005,1468.448000,1.8069E000
1468.464500,1.4680E-004,1468.464500,8.1090E-005,1468.464500,1.8103E000
1468.481000,1.4680E-004,1468.481000,8.1190E-005,1468.481000,1.8081E000
1468.497500,1.4700E-004,1468.497500,8.1150E-005,1468.497500,1.8115E000
1468.514000,1.4690E-004,1468.514000,8.1240E-005,1468.514000,1.8082E000
1468.530500,1.4680E-004,1468.530500,8.1300E-005,1468.530500,1.8057E000
1468.547000,1.4700E-004,1468.547000,8.1260E-005,1468.547000,1.8090E000
1468.563500,1.4740E-004,1468.563500,8.1520E-005,1468.563500,1.8081E000
1468.580000,1.4770E-004,1468.580000,8.1690E-005,1468.580000,1.8081E000
1468.596500,1.4780E-004,1468.596500,8.1710E-005,1468.596500,1.8088E000
1468.613000,1.4810E-004,1468.613000,8.2010E-005,1468.613000,1.8059E000
1468.629500,1.4860E-004,1468.629500,8.2130E-005,1468.629500,1.8093E000
1468.646000,1.4850E-004,1468.646000,8.2220E-005,1468.646000,1.8061E000
1468.662500,1.4850E-004,1468.662500,8.2140E-005,1468.662500,1.8079E000
1468.679000,1.4860E-004,1468.679000,8.2180E-005,1468.679000,1.8082E000
1468.695500,1.4890E-004,1468.695500,8.2370E-005,1468.695500,1.8077E000
1468.712000,1.4860E-004,1468.712000,8.2330E-005,1468.712000,1.8049E000
1468.728500,1.4920E-004,1468.728500,8.2480E-005,1468.728500,1.8089E000
1468.745000,1.4940E-004,1468.745000,8.2460E-005,1468.745000,1.8118E000
1468.761500,1.4930E-004,1468.761500,8.2650E-005,1468.761500,1.8064E000
1468.778000,1.4920E-004,1468.778000,8.2650E-005,1468.778000,1.8052E000
1468.794500,1.4960E-004,1468.794500,8.2920E-005,1468.794500,1.8041E000
1468.811000,1.5000E-004,1468.811000,8.2800E-005,1468.811000,1.8116E000
1468.827500,1.5030E-004,1468.827500,8.2990E-005,1468.827500,1.8111E000
1468.844000,1.5020E-004,1468.844000,8.3010E-005,1468.844000,1.8094E000
1468.860500,1.5060E-004,1468.860500,8.2970E-005,1468.860500,1.8151E000
1468.877000,1.5060E-004,1468.877000,8.3310E-005,1468.877000,1.8077E000
1468.893500,1.5080E-004,1468.893500,8.3520E-005,1468.893500,1.8056E000
1468.910000,1.5080E-004,1468.910000,8.3250E-005,1468.910000,1.8114E000
1468.926500,1.5110E-004,1468.926500,8.3330E-005,1468.926500,1.8133E000
1468.943000,1.5090E-004,1468.943000,8.3500E-005,1468.943000,1.8072E000
1468.959500,1.5100E-004,1468.959500,8.3440E-005,1468.959500,1.8097E000
1468.976000,1.5110E-004,1468.976000,8.3500E-005,1468.976000,1.8096E000
1468.992500,1.5100E-004,1468.992500,8.3440E-005,1468.992500,1.8097E000
1469.009000,1.5120E-004,1469.009000,8.3740E-005,1469.009000,1.8056E000
1469.025500,1.5120E-004,1469.025500,8.3660E-005,1469.025500,1.8073E000
1469.042000,1.5150E-004,1469.042000,8.3690E-005,1469.042000,1.8103E000
1469.058500,1.5140E-004,1469.058500,8.3810E-005,1469.058500,1.8065E000
1469.075000,1.5170E-004,1469.075000,8.3810E-005,1469.075000,1.8100E000
1469.091500,1.5150E-004,1469.091500,8.4030E-005,1469.091500,1.8029E000
1469.108000,1.5150E-004,1469.108000,8.3960E-005,1469.108000,1.8044E000
1469.124500,1.5220E-004,1469.124500,8.4030E-005,1469.124500,1.8113E000
1469.141000,1.5180E-004,1469.141000,8.3970E-005,1469.141000,1.8078E000
1469.157500,1.5210E-004,1469.157500,8.4090E-005,1469.157500,1.8088E000
1469.174000,1.5200E-004,1469.174000,8.4160E-005,1469.174000,1.8061E000
1469.190500,1.5180E-004,1469.190500,8.4160E-005,1469.190500,1.8037E000
1469.207000,1.5190E-004,1469.207000,8.4110E-005,1469.207000,1.8060E000
1469.223500,1.5180E-004,1469.223500,8.3920E-005,1469.223500,1.8089E000
1469.240000,1.5210E-004,1469.240000,8.4070E-005,1469.240000,1.8092E000
1469.256500,1.5240E-004,1469.256500,8.4030E-005,1469.256500,1.8136E000
1469.273000,1.5230E-004,1469.273000,8.4370E-005,1469.273000,1.8051E000
1469.289500,1.5260E-004,1469.289500,8.4500E-005,1469.289500,1.8059E000
1469.306000,1.5280E-004,1469.306000,8.4560E-005,1469.306000,1.8070E000
1469.322500,1.5300E-004,1469.322500,8.4600E-005,1469.322500,1.8085E000
1469.339000,1.5300E-004,1469.339000,8.4540E-005,1469.339000,1.8098E000
1469.355500,1.5320E-004,1469.355500,8.4710E-005,1469.355500,1.8085E000
1469.372000,1.5320E-004,1469.372000,8.4710E-005,1469.372000,1.8085E000
1469.388500,1.5330E-004,1469.388500,8.4860E-005,1469.388500,1.8065E000
1469.405000,1.5330E-004,1469.405000,8.4670E-005,1469.405000,1.8106E000
1469.421500,1.5340E-004,1469.421500,8.4840E-005,1469.421500,1.8081E000
1469.438000,1.5320E-004,1469.438000,8.4760E-005,1469.438000,1.8075E000
1469.454500,1.5330E-004,1469.454500,8.4670E-005,1469.454500,1.8106E000
1469.471000,1.5320E-004,1469.471000,8.4780E-005,1469.471000,1.8070E000
1469.487500,1.5320E-004,1469.487500,8.4840E-005,1469.487500,1.8058E000
1469.504000,1.5330E-004,1469.504000,8.4860E-005,1469.504000,1.8065E000
1469.520500,1.5300E-004,1469.520500,8.4820E-005,1469.520500,1.8038E000
1469.537000,1.5300E-004,1469.537000,8.4760E-005,1469.537000,1.8051E000
1469.553500,1.5270E-004,1469.553500,8.4650E-005,1469.553500,1.8039E000
1469.570000,1.5220E-004,1469.570000,8.4090E-005,1469.570000,1.8100E000
1469.586500,1.5000E-004,1469.586500,8.3200E-005,1469.586500,1.8029E000
1469.603000,1.4660E-004,1469.603000,8.1510E-005,1469.603000,1.7986E000
1469.619500,1.4140E-004,1469.619500,7.8450E-005,1469.619500,1.8024E000
