
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C),Wavelength(D),Level(D)
1461.501500,9.6950E-005,1461.501500,3.4500E-005,1461.501500,3.0660E-006,1461.501500,4.4630E-006
1461.518000,9.7120E-005,1461.518000,3.4480E-005,1461.518000,2.9630E-006,1461.518000,4.4650E-006
1461.534500,9.7200E-005,1461.534500,3.4650E-005,1461.534500,3.1020E-006,1461.534500,4.4890E-006
1461.551000,9.7630E-005,1461.551000,3.4570E-005,1461.551000,3.0140E-006,1461.551000,4.4780E-006
1461.567500,9.7700E-005,1461.567500,3.4720E-005,1461.567500,3.0490E-006,1461.567500,4.4930E-006
1461.584000,9.7760E-005,1461.584000,3.4650E-005,1461.584000,3.0010E-006,1461.584000,4.5320E-006
1461.600500,9.7780E-005,1461.600500,3.4720E-005,1461.600500,3.0760E-006,1461.600500,4.5470E-006
1461.617000,9.7740E-005,1461.617000,3.4630E-005,1461.617000,3.0350E-006,1461.617000,4.4860E-006
1461.633500,9.7810E-005,1461.633500,3.4890E-005,1461.633500,3.1040E-006,1461.633500,4.5530E-006
1461.650000,9.7960E-005,1461.650000,3.4740E-005,1461.650000,3.1200E-006,1461.650000,4.4640E-006
1461.666500,9.8090E-005,1461.666500,3.4780E-005,1461.666500,3.0980E-006,1461.666500,4.5290E-006
1461.683000,9.8260E-005,1461.683000,3.4700E-005,1461.683000,3.0400E-006,1461.683000,4.5140E-006
1461.699500,9.8220E-005,1461.699500,3.4960E-005,1461.699500,3.1780E-006,1461.699500,4.6120E-006
1461.716000,9.8650E-005,1461.716000,3.4830E-005,1461.716000,3.1320E-006,1461.716000,4.6340E-006
1461.732500,9.8780E-005,1461.732500,3.5110E-005,1461.732500,3.2140E-006,1461.732500,4.6320E-006
1461.749000,9.9050E-005,1461.749000,3.5300E-005,1461.749000,3.1480E-006,1461.749000,4.6620E-006
1461.765500,9.9250E-005,1461.765500,3.5280E-005,1461.765500,3.1130E-006,1461.765500,4.6710E-006
1461.782000,9.9360E-005,1461.782000,3.5360E-005,1461.782000,3.1690E-006,1461.782000,4.7200E-006
1461.798500,9.9630E-005,1461.798500,3.5320E-005,1461.798500,3.1780E-006,1461.798500,4.7220E-006
1461.815000,9.9570E-005,1461.815000,3.5430E-005,1461.815000,3.2050E-006,1461.815000,4.6680E-006
1461.831500,9.9780E-005,1461.831500,3.5340E-005,1461.831500,3.1500E-006,1461.831500,4.6640E-006
1461.848000,9.9660E-005,1461.848000,3.5410E-005,1461.848000,3.1540E-006,1461.848000,4.6300E-006
1461.864500,9.9460E-005,1461.864500,3.5410E-005,1461.864500,3.1280E-006,1461.864500,4.6530E-006
1461.881000,9.9660E-005,1461.881000,3.5510E-005,1461.881000,3.1710E-006,1461.881000,4.7540E-006
1461.897500,1.0000E-004,1461.897500,3.5510E-005,1461.897500,3.1950E-006,1461.897500,4.8440E-006
1461.914000,9.9850E-005,1461.914000,3.5510E-005,1461.914000,3.1330E-006,1461.914000,4.7720E-006
1461.930500,1.0020E-004,1461.930500,3.5560E-005,1461.930500,3.1330E-006,1461.930500,4.8450E-006
1461.947000,1.0050E-004,1461.947000,3.5770E-005,1461.947000,3.2010E-006,1461.947000,4.8270E-006
1461.963500,1.0060E-004,1461.963500,3.5660E-005,1461.963500,3.2290E-006,1461.963500,4.8230E-006
1461.980000,1.0080E-004,1461.980000,3.5810E-005,1461.980000,3.2700E-006,1461.980000,4.7890E-006
1461.996500,1.0100E-004,1461.996500,3.5970E-005,1461.996500,3.2760E-006,1461.996500,4.8230E-006
1462.013000,1.0110E-004,1462.013000,3.6010E-005,1462.013000,3.2180E-006,1462.013000,4.9560E-006
1462.029500,1.0150E-004,1462.029500,3.6050E-005,1462.029500,3.2700E-006,1462.029500,4.8900E-006
1462.046000,1.0140E-004,1462.046000,3.6180E-005,1462.046000,3.2590E-006,1462.046000,4.8340E-006
1462.062500,1.0160E-004,1462.062500,3.6030E-005,1462.062500,3.2380E-006,1462.062500,4.8940E-006
1462.079000,1.0160E-004,1462.079000,3.6120E-005,1462.079000,3.2210E-006,1462.079000,4.9370E-006
1462.095500,1.0170E-004,1462.095500,3.6010E-005,1462.095500,3.1840E-006,1462.095500,4.9600E-006
1462.112000,1.0200E-004,1462.112000,3.6200E-005,1462.112000,3.2910E-006,1462.112000,4.9480E-006
1462.128500,1.0210E-004,1462.128500,3.6180E-005,1462.128500,3.2740E-006,1462.128500,4.9260E-006
1462.145000,1.0190E-004,1462.145000,3.6420E-005,1462.145000,3.2380E-006,1462.145000,4.9450E-006
1462.161500,1.0250E-004,1462.161500,3.6440E-005,1462.161500,3.3240E-006,1462.161500,4.9110E-006
