
Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C),Wavelength(D),Level(D),Wavelength(E),Level(E)
1461.320000,1.0320E-004,1461.320000,6.1990E-005,1461.320000,2.9520E-005,1461.320000,2.0710E-005,1461.320000,3.4959E000
1461.336500,1.0330E-004,1461.336500,6.2230E-005,1461.336500,2.9520E-005,1461.336500,2.0700E-005,1461.336500,3.4993E000
1461.353000,1.0350E-004,1461.353000,6.2270E-005,1461.353000,2.9580E-005,1461.353000,2.0790E-005,1461.353000,3.4990E000
1461.369500,1.0370E-004,1461.369500,6.2360E-005,1461.369500,2.9650E-005,1461.369500,2.0830E-005,1461.369500,3.4975E000
1461.386000,1.0400E-004,1461.386000,6.2360E-005,1461.386000,2.9690E-005,1461.386000,2.0850E-005,1461.386000,3.5029E000
1461.402500,1.0410E-004,1461.402500,6.2620E-005,1461.402500,2.9750E-005,1461.402500,2.0860E-005,1461.402500,3.4992E000
1461.419000,1.0420E-004,1461.419000,6.2700E-005,1461.419000,2.9920E-005,1461.419000,2.0980E-005,1461.419000,3.4826E000
1461.435500,1.0470E-004,1461.435500,6.2920E-005,1461.435500,2.9920E-005,1461.435500,2.0900E-005,1461.435500,3.4993E000
1461.452000,1.0470E-004,1461.452000,6.2940E-005,1461.452000,2.9950E-005,1461.452000,2.1070E-005,1461.452000,3.4958E000
1461.468500,1.0480E-004,1461.468500,6.3330E-005,1461.468500,3.0030E-005,1461.468500,2.1000E-005,1461.468500,3.4898E000
1461.485000,1.0520E-004,1461.485000,6.3430E-005,1461.485000,3.0120E-005,1461.485000,2.1070E-005,1461.485000,3.4927E000
1461.501500,1.0540E-004,1461.501500,6.3370E-005,1461.501500,3.0210E-005,1461.501500,2.1180E-005,1461.501500,3.4889E000
1461.518000,1.0560E-004,1461.518000,6.3580E-005,1461.518000,3.0210E-005,1461.518000,2.1220E-005,1461.518000,3.4955E000
1461.534500,1.0570E-004,1461.534500,6.3670E-005,1461.534500,3.0290E-005,1461.534500,2.1310E-005,1461.534500,3.4896E000
1461.551000,1.0590E-004,1461.551000,6.3630E-005,1461.551000,3.0380E-005,1461.551000,2.1330E-005,1461.551000,3.4858E000
1461.567500,1.0600E-004,1461.567500,6.3910E-005,1461.567500,3.0350E-005,1461.567500,2.1370E-005,1461.567500,3.4926E000
1461.584000,1.0610E-004,1461.584000,6.3930E-005,1461.584000,3.0380E-005,1461.584000,2.1480E-005,1461.584000,3.4924E000
1461.600500,1.0630E-004,1461.600500,6.3990E-005,1461.600500,3.0530E-005,1461.600500,2.1460E-005,1461.600500,3.4818E000
1461.617000,1.0660E-004,1461.617000,6.3970E-005,1461.617000,3.0510E-005,1461.617000,2.1440E-005,1461.617000,3.4939E000
1461.633500,1.0640E-004,1461.633500,6.3990E-005,1461.633500,3.0590E-005,1461.633500,2.1500E-005,1461.633500,3.4783E000
1461.650000,1.0660E-004,1461.650000,6.4140E-005,1461.650000,3.0590E-005,1461.650000,2.1460E-005,1461.650000,3.4848E000
1461.666500,1.0690E-004,1461.666500,6.4380E-005,1461.666500,3.0740E-005,1461.666500,2.1550E-005,1461.666500,3.4776E000
1461.683000,1.0700E-004,1461.683000,6.4540E-005,1461.683000,3.0890E-005,1461.683000,2.1640E-005,1461.683000,3.4639E000
1461.699500,1.0760E-004,1461.699500,6.4660E-005,1461.699500,3.0870E-005,1461.699500,2.1640E-005,1461.699500,3.4856E000
1461.716000,1.0760E-004,1461.716000,6.4830E-005,1461.716000,3.0850E-005,1461.716000,2.1830E-005,1461.716000,3.4878E000
1461.732500,1.0760E-004,1461.732500,6.4830E-005,1461.732500,3.0960E-005,1461.732500,2.1740E-005,1461.732500,3.4755E000
1461.749000,1.0780E-004,1461.749000,6.4940E-005,1461.749000,3.1020E-005,1461.749000,2.1850E-005,1461.749000,3.4752E000
1461.765500,1.0780E-004,1461.765500,6.4990E-005,1461.765500,3.1050E-005,1461.765500,2.1900E-005,1461.765500,3.4718E000
1461.782000,1.0780E-004,1461.782000,6.5110E-005,1461.782000,3.1170E-005,1461.782000,2.1850E-005,1461.782000,3.4585E000
